employee_id,branch_id
EMP-0001,BR-001
EMP-0002,BR-001
EMP-0003,BR-002
EMP-0004,BR-002
EMP-0005,BR-003
EMP-0006,BR-003
EMP-0007,BR-004
EMP-0008,BR-004
EMP-0009,BR-005
EMP-0010,BR-005
EMP-0011,BR-006
EMP-0012,BR-006
EMP-0013,BR-007
EMP-0014,BR-007
EMP-0015,BR-008
EMP-0016,BR-008
EMP-0017,BR-009
EMP-0018,BR-009
EMP-0019,BR-010
EMP-0020,BR-010
EMP-0021,BR-011
EMP-0022,BR-011
EMP-0023,BR-012
EMP-0024,BR-012
EMP-0025,BR-013
EMP-0026,BR-013
EMP-0027,BR-014
EMP-0028,BR-014
EMP-0029,BR-015
EMP-0030,BR-015
EMP-0031,BR-016
EMP-0032,BR-016
EMP-0033,BR-017
EMP-0034,BR-017
EMP-0035,BR-018
EMP-0036,BR-018
EMP-0037,BR-019
EMP-0038,BR-019
EMP-0039,BR-020
EMP-0040,BR-020
EMP-0041,BR-021
EMP-0042,BR-021
EMP-0043,BR-022
EMP-0044,BR-022
EMP-0045,BR-023
EMP-0046,BR-023
EMP-0047,BR-024
EMP-0048,BR-024
EMP-0049,BR-025
EMP-0050,BR-025
EMP-0051,BR-026
EMP-0052,BR-026
EMP-0053,BR-027
EMP-0054,BR-027
EMP-0055,BR-028
EMP-0056,BR-028
EMP-0057,BR-029
EMP-0058,BR-029
EMP-0059,BR-030
EMP-0060,BR-030
EMP-0061,BR-031
EMP-0062,BR-031
EMP-0063,BR-032
EMP-0064,BR-032
EMP-0065,BR-033
EMP-0066,BR-033
EMP-0067,BR-034
EMP-0068,BR-034
EMP-0069,BR-035
EMP-0070,BR-035
EMP-0071,BR-036
EMP-0072,BR-036
EMP-0073,BR-037
EMP-0074,BR-037
EMP-0075,BR-038
EMP-0076,BR-038
EMP-0077,BR-039
EMP-0078,BR-039
EMP-0079,BR-040
EMP-0080,BR-040
EMP-0081,BR-041
EMP-0082,BR-041
EMP-0083,BR-042
EMP-0084,BR-042
EMP-0085,BR-043
EMP-0086,BR-043
EMP-0087,BR-044
EMP-0088,BR-044
EMP-0089,BR-045
EMP-0090,BR-045
EMP-0091,BR-046
EMP-0092,BR-046
EMP-0093,BR-047
EMP-0094,BR-047
EMP-0095,BR-048
EMP-0096,BR-048
EMP-0097,BR-049
EMP-0098,BR-049
