client_id,account_id,archetype,home_branch,preferred_day,branch_loyalty,counterparty_known_ratio,op_mix_retrait,op_mix_versement,op_mix_virement,op_mix_cheque,amount_mean_retrait,amount_mean_versement,amount_mean_virement,amount_mean_cheque,amount_std_retrait,amount_std_versement,amount_std_virement,amount_std_cheque,frequency_retrait,frequency_versement,frequency_virement,frequency_cheque,account_opening_date
347b6bba-94c3-418e-88d3-7938616df78a,1e8be5c0-e672-4c41-9489-dbcf9d201a89,salaried,BR-095,3,0.887014010181737,1.0,0.557778,0.056202,0.330164,0.055856,242.28,168.44,185.84,535.91,45.0,30.0,60.0,60.0,3.02,0.68,1.04,0.49,2018-05-24
3878e7fc-287a-4ec0-9247-5484557cba3a,f0592049-e38a-4c4d-9dd1-1f9a2c6245db,salaried,BR-022,4,0.6496114922415047,0.640544302405237,0.533402,0.053348,0.365659,0.047591,210.31,213.75,421.69,599.85,45.0,30.0,60.0,60.0,1.85,0.16,0.97,0,2019-04-14
1077e9ef-2360-4d16-ace5-b52ba98eaa15,c4d3c5c5-6275-4a94-800c-6e55e7cf73f4,salaried,BR-109,4,0.8718333410244303,1.0,0.433229,0.0552,0.46234,0.04923,457.48,194.6,511.21,238.39,45.0,30.0,60.0,60.0,1.43,0.01,2.19,1.06,2022-03-08
2ad1c87a-a80b-4d6d-8fc3-9977e92e4305,e2f0b948-3d71-46f1-960e-6f73fcab58a2,salaried,BR-029,6,0.8987115881045047,0.7044520953601815,0.449524,0.064146,0.436913,0.049417,313.63,233.91,402.09,495.2,45.0,30.0,60.0,60.0,1.45,0.5,2.14,0.2,2011-08-04
8101b41f-03e4-4b96-baa9-ddc2a16e4b16,58ebb2df-6da0-46ad-8ae3-fcfea6a4fdbf,salaried,BR-066,1,1.0,0.6219589455547714,0.507003,0.060984,0.379604,0.052409,323.98,154.93,448.77,262.99,45.0,30.0,60.0,60.0,1.88,0.71,3.1,0.62,2014-08-31
cbe634e5-7396-4d3b-8858-e8b656194dd1,1531c368-11c9-4864-8267-e5adf21d9d0c,salaried,BR-142,4,0.6878138381172971,0.8500855962340012,0.434894,0.052582,0.456118,0.056406,190.93,206.5,603.15,437.05,45.0,30.0,60.0,60.0,2.58,0,0.47,0.49,2015-04-02
3d686ea9-2b80-4549-9246-2fdd0a201292,8d1d5c17-f527-404a-9795-6dc83e4eaebc,salaried,BR-079,5,0.8051696443849152,0.8620534822100074,0.319299,0.061402,0.575498,0.043801,304.66,162.21,419.71,455.38,45.0,30.0,60.0,60.0,4.32,0.17,0.58,0,2010-12-22
b1b11c6f-7148-449b-b2ef-13e5accf5596,dcb717cd-16df-4288-85ac-632c76ac8fb7,salaried,BR-041,3,0.8327784072174184,0.8085492524531659,0.528589,0.054655,0.371829,0.044927,339.21,113.75,344.65,548.94,45.0,30.0,60.0,60.0,4.21,0.18,2.37,0.9,2012-06-07
e4696b8d-b8cd-4bf3-bbb6-58fb4d0cde1f,c627248d-af83-4d4c-856a-d074895b5319,salaried,BR-118,3,0.7963720848580075,0.8830844421352083,0.490862,0.040529,0.417138,0.051471,240.3,191.67,422.87,496.02,45.0,30.0,60.0,60.0,1.58,0.93,3.62,0.63,2011-12-04
adba24bb-bea8-48ba-9150-86b85c1054e2,505852cb-8974-4757-90e1-11c7912e8c87,salaried,BR-016,2,0.9052852889281853,1.0,0.57051,0.029609,0.361204,0.038676,312.33,185.68,298.07,420.7,45.0,30.0,60.0,60.0,3.24,0.31,1.95,0.35,2022-06-09
e92276a5-7ef3-4650-8647-d5edbeb5b1c8,54f67a46-7d8f-45ba-8ff0-92cf4d1d02c5,salaried,BR-082,1,0.9049170368427139,1.0,0.519214,0.043817,0.386562,0.050408,229.74,128.61,361.59,545.35,45.0,30.0,60.0,60.0,3.99,0.02,1.86,0.35,2021-11-22
b455d1dc-9f19-4487-be88-099fee63f137,2c8e31d0-018a-4a54-af82-4d9d168fb9bb,salaried,BR-077,1,0.8359905695860466,0.8176592692337455,0.594441,0.041032,0.314923,0.049604,169.0,170.43,459.28,428.25,45.0,30.0,60.0,60.0,4.55,0.37,2.86,0,2014-06-29
6738ab94-3974-4e91-b9cd-2238b124d544,e73101d4-d292-445c-89fb-340026d17a1e,salaried,BR-099,3,0.8570200313627279,0.812292497580225,0.536896,0.043908,0.389011,0.030186,308.73,244.57,495.41,424.56,45.0,30.0,60.0,60.0,2.2,0.66,2.44,0.53,2021-12-13
1c0a7508-f489-4937-b7d1-f0551349bd43,0c1bf398-7ce6-4f34-b467-8fc86932abb6,salaried,BR-148,3,0.9888183140024336,0.7541969255178405,0.532127,0.058786,0.348445,0.060642,329.17,199.92,474.24,438.58,45.0,30.0,60.0,60.0,3.45,0.41,2.1,0.6,2021-08-15
cdc54495-ed85-4abd-9e8f-6eb102a84976,5ad178fc-3aa8-45fe-a28c-421a3943c914,salaried,BR-068,3,0.8278455367695867,0.9114910969975436,0.472691,0.04885,0.429693,0.048766,226.89,245.36,417.31,565.35,45.0,30.0,60.0,60.0,3.78,0.27,1.93,0.48,2011-01-28
